codigo,registro_fuente,provincia,canton,zona_publica,anio_ensayo,elevacion_msnm,profundidad_sondeo_m,n60,capacidad_portante_kg_cm2,limite_liquido_pct,limite_plastico_pct,indice_plasticidad_pct,humedad_pct,profundidad_cimentacion_m,aashto,tipo_suelo,sucs,nivel_freatico,tipo_cimentacion,resistencia_n60,aptitud_referencial,privacidad,lon_wgs84,lat_wgs84
SPT-209,209,Zamora Chinchipe,Zamora,Zona técnica 01,2025,1171,6.5,8,0.74,28.5,19.6,8.9,20.76,2,A-4(2),Arcilla arenosa cl de mediana palsticidad color cafe oscuro,CL,No,Zapata Continua o corrida,Muy baja,Revisión prioritaria,pública_anonimizada,-79.1333035,-4.6528792
SPT-210,210,Zamora Chinchipe,Zamora,Zona técnica 01,2025,1140,6,24,1.38,28.4,19.5,8.9,14.69,1.5,A-4(4),Arcilla arenosa cl de mediana plasticidad color cafe,CL,No,Zapata Continua o corrida,Media,Condicionada,pública_anonimizada,-79.131792,-4.651971
SPT-211,211,Zamora Chinchipe,Zamora,Zona técnica 01,2025,1132,3,34,1.65,,,,9.17,2,A-1-b,Arena limosa con bajo contenido de grava sm no plastica color cafe naranja,SM,No,Zapata Continua o corrida,Alta,Media,pública_anonimizada,-79.1314095,-4.6500712
SPT-212,212,Zamora Chinchipe,Zamora,Zona técnica 01,2025,1133,6,10,1.16,,,,9.38,3,A-1-b,Arena limosa con grava sm no plastica color cafe (relleno),SM,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.1308976,-4.6494098
SPT-213,213,Loja,Loja,Zona técnica 02,2025,1582,6,11,1.07,57,32.3,24.8,16.39,1.8,A-7-5(20),Limo con arena mh de alta plasticidad color gris clara,MH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2856633,-4.1964727
SPT-214,214,Loja,Loja,Zona técnica 02,2025,1585,4.5,17,1.44,47,33.3,13.7,18.68,1.8,A-7-5(7),Limo con arena y con bajo contenido de gravas ml de mediana plasticidad color gris,ML,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2858614,-4.1965003
SPT-215,215,Loja,Loja,Zona técnica 02,2025,2214,3.5,16,1.09,,,,16.24,2,A-1-b,Grava limosa con arena gm no plastica color cafe (material de mejoramiento),GM,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2139936,-4.0204177
SPT-216,216,Loja,Loja,Zona técnica 02,2025,2217,4.5,16,1.08,31.7,21.2,10.4,14.41,2,A-4(6),Limo mh de alta plasticidad color cafe amarillento claro,MH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2139999,-4.0216565
SPT-217,217,Loja,Loja,Zona técnica 02,2025,2218,6,6,0.77,31.4,20.6,10.9,18.26,2,A-6(5),Arcilla con arena cl de mediana plasticidad color cafe oscuro,CL,No,Zapata Continua o corrida,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2139726,-4.0218012
SPT-218,218,Loja,Calvas,Zona técnica 01,2025,1919,6,19,1.46,37.6,27.1,10.5,21.51,3,A-6(3),Limo gravoso con arena ml de mediana plasticidad color cafe naranja,ML,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.5517938,-4.3168265
SPT-219,219,Loja,Calvas,Zona técnica 01,2025,1918,6,20,1.61,37.6,27.1,10.5,27.32,3,A-6(3),Limo gravoso con arena ml de mediana plasticidad color cafe naranja,ML,No,Zapata Continua o corrida,Media,Media,pública_anonimizada,-79.5518388,-4.3168719
SPT-220,220,Loja,Catamayo,Zona técnica 04,2025,1261,6,12,2.32,37.3,23.2,14.1,11.25,2,A-6(7),Arcilla con arena y con bajo contenido de gravas cl de mediana plasticidad color cafe oscuro,CL,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.3604299,-3.988252
SPT-221,221,Loja,Catamayo,Zona técnica 04,2025,1262,6,5,1.32,37.3,23.2,14.1,8.02,2,A-6(4),Arena arcillosa con bajo contenido de grava sc de mediana plasticidad color cafe oscuro,SC,No,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.360376,-3.9881976
SPT-222,222,El Oro,Portovelo,Zona técnica 05,2025,904,3,18,1.08,,,,31.45,1.5,A-1-b,Arena limosa con grava sm no plastica color cafe amarillenta,SM,Sí,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.6441306,-3.7585366
SPT-223,223,El Oro,Portovelo,Zona técnica 05,2025,903,2.5,56,3.37,,,,5.69,1.5,A-1-b,Arena limosa con grava sm no plastica color cafe amarillenta,SM,Sí,Zapata aislada cuadrada,Muy alta,Media,pública_anonimizada,-79.6443557,-3.7585369
SPT-224,224,Loja,Loja,Zona técnica 05,2026,2018,4.45,13,2.23,34,20.9,13,23.74,3,A-6(2),Grava arcillosa con arena gc de mediana plasticidad color cafe oscuro,GC,Sí,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2131423,-3.96022
SPT-225,225,Loja,Loja,Zona técnica 05,2026,2018,5.45,10,2.23,37.7,20.1,17.6,5.15,3,A-6(13),Arcilla con arena cl de mediana plasticidad color cafe oscuro,CL,Sí,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2131874,-3.960193
SPT-226,226,Loja,Calvas,Zona técnica 01,2025,2056,4.45,19,1.08,77.9,54.1,23.8,38.85,1.5,A-7-5(35),Limo mh de alta plasticidad color cafe naranja,MH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.5617801,-4.3338211
SPT-227,227,Loja,Loja,Zona técnica 05,2025,2014,4.5,10,1.3,62.2,20.2,42.1,16.28,2,A-7-6(34),Arcilla con arena ch de alta plasticidad color cafe oscuro,CH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2168424,-3.9435446
SPT-228,228,Loja,Loja,Zona técnica 05,2025,2013,5.5,13,1.66,59.6,20.8,38.9,13.78,2,A-7-6(30),Arcilla con arena ch de alta plasticidad color cafe oscuro,CH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.216797,-3.9437163
SPT-229,229,Loja,Catamayo,Zona técnica 05,2026,1707,6.5,12,2.1,,,,8.52,1.2,A-1-b,Grava limosa con arena gm no plastica color cafe oscuro,GM,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.433613,-3.9402655
SPT-230,230,Loja,Loja,Zona técnica 02,2026,2276,6.5,4,1.2,30.1,19.1,11,21.52,1.2,A-6(1),Arena arcillosa con grava sc de mediana plasticidad color cafe grisaceo,SC,No,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2211983,-4.0240324
SPT-231,231,Loja,Loja,Zona técnica 02,2026,2276,6.5,4,1.2,31.5,18.3,13.1,16.36,1.2,A-6(4),Arcilla arenosa con gravas cl de mediana plasticidad color cafe grisaceo,CL,No,Zapata aislada cuadrada,Muy baja,Revisión prioritaria,pública_anonimizada,-79.2211082,-4.0240774
SPT-232,232,Loja,Loja,Zona técnica 02,2026,1546,4.5,26,2.43,55.8,21.6,34.1,17.14,1.5,A-7-6(20),Arcilla con arena y con bajo contenido de gravas ch de alta plasticidad color cafe claro,CH,No,Zapata aislada cuadrada,Media,Alta,pública_anonimizada,-79.2830778,-4.2049853
SPT-233,233,Loja,Loja,Zona técnica 02,2026,1564,3.5,31,2.43,49.8,19.2,30.7,11.2,1.5,A-7-6(16),Arcilla con arena y con bajo contenido de gravas cl de alta plasticidad color cafe claro,CL,No,Zapata aislada cuadrada,Alta,Alta,pública_anonimizada,-79.2847423,-4.2057757
SPT-234,234,Loja,Loja,Zona técnica 02,2026,1587,4.5,48,2.43,61.5,36.6,24.9,6.85,1.5,A-7-5(17),Limo con arena y gravas mh de alta plasticidad color cafe amarillento,MH,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2864877,-4.2066748
SPT-235,235,Loja,Loja,Zona técnica 02,2026,1622,4.5,26,2.43,46.6,30.5,16.1,15.02,1.5,A-7-5(11),Limo con arena ml de mediana plasticidad color cafe amarillento,ML,No,Zapata aislada cuadrada,Media,Alta,pública_anonimizada,-79.2881078,-4.2071938
SPT-236,236,Loja,Loja,Zona técnica 04,2026,2198,5.5,13,1.55,55,32.9,22.1,31.28,2,A-7-5(18),Limo con arena mh de alta plasticidad color cafe oscuro,MH,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.2285057,-4.0009627
